user_id,location_id,rating
28,11,4
4,9,5
37,11,4
7,4,3
18,2,2
52,3,4
18,16,1
7,1,3
2,0,2
36,10,1
63,17,2
19,18,4
53,5,3
36,16,5
15,12,2
55,3,3
17,16,4
39,7,4
30,12,4
7,9,1
33,8,1
2,17,3
56,7,4
5,18,1
54,12,1
16,1,1
32,9,5
59,10,2
5,18,2
42,10,4
30,5,1
2,16,3
56,7,3
43,4,4
36,9,5
24,5,3
25,7,4
57,1,5
15,18,4
50,4,4
60,10,1
8,7,5
34,13,2
61,15,2
59,4,5
22,15,4
24,2,5
53,15,3
64,11,3
44,2,5
55,2,5
8,14,1
10,18,4
13,9,2
30,14,3
61,1,2
61,4,1
54,0,3
0,13,2
34,3,2
61,1,5
26,17,3
15,6,5
51,0,3
3,18,4
3,0,4
51,14,4
28,4,4
44,4,3
57,0,5
3,13,4
45,5,3
40,1,2
48,3,3
48,3,4
28,11,4
52,3,2
18,10,5
37,14,4
48,2,1
50,1,4
61,7,2
4,13,5
9,5,2
55,7,4
22,6,5
26,13,1
48,17,2
20,10,5
15,12,2
13,7,3
25,11,4
49,7,1
21,15,2
51,18,1
63,17,1
38,10,1
26,7,2
50,8,4
64,16,1
33,13,2
21,0,3
12,15,2
55,6,5
39,6,5
7,14,3
50,5,5
36,9,2
13,12,2
45,3,5
35,12,5
44,18,5
22,4,3
10,0,5
35,15,2
46,4,1
50,1,1
49,9,5
25,10,4
13,9,2
58,5,1
31,8,5
6,7,4
21,17,4
52,0,3
61,3,1
64,11,2
13,2,3
22,8,1
17,1,4
26,13,2
36,5,4
45,10,3
4,10,1
10,16,5
39,7,2
15,7,2
50,2,5
16,7,1
34,10,1
28,15,5
23,14,4
13,10,4
12,4,4
57,14,4
63,17,5
61,11,1
25,11,1
28,15,3
46,6,3
3,5,4
40,5,4
51,2,4
22,18,3
44,17,3
15,16,5
6,8,2
18,7,1
10,17,5
43,2,4
6,14,2
42,2,5
52,7,1
32,18,2
61,18,3
10,15,3
30,18,3
28,2,5
36,13,3
16,10,2
26,6,2
45,18,3
48,2,1
17,15,3
8,16,3
8,0,5
63,9,3
14,1,1
25,14,3
10,12,3
58,8,3
27,12,5
57,13,5
21,14,3
27,8,2
39,7,2
47,11,2
18,9,5
54,18,5
53,7,1
44,16,2
51,8,5
33,3,4
8,17,3
27,12,4
0,4,3
21,5,2
57,9,2
12,9,4
17,12,5
26,17,2
27,14,5
28,8,1
62,13,4
1,18,2
36,11,5
0,18,3
54,9,2
59,18,5
7,3,4
64,16,4
8,3,2
21,12,3
28,13,3
26,1,1
36,15,1
12,4,4
40,1,5
26,14,4
22,16,2
21,0,4
37,3,2
9,12,4
50,10,5
45,0,1
12,11,1
45,2,3
27,10,1
55,8,3
49,11,4
56,4,3
41,11,1
48,8,4
22,2,3
4,11,4
46,0,2
35,11,5
25,0,1
4,1,4
24,17,4
23,13,3
23,10,3
32,4,1
39,4,4
13,11,2
62,13,5
51,5,1
33,12,3
3,10,2
15,14,4
52,0,3
37,3,5
15,0,2
42,2,1
58,6,4
50,5,5
45,1,2
33,6,2
28,14,4
25,8,1
58,12,1
58,16,3
6,16,5
32,2,2
43,15,5
26,2,3
63,8,3
50,17,3
25,1,5
5,3,2
61,17,4
0,6,1
38,5,5
20,5,3
5,15,1
52,8,4
29,2,3
15,1,3
15,17,3
11,0,4
29,8,3
61,2,3
8,2,1
30,10,2
35,9,3
33,4,5
39,4,5
58,18,3
36,9,2
13,9,3
29,10,2
27,8,2
28,14,2
22,16,4
59,8,4
18,6,3
29,4,2
0,5,2
20,3,5
51,14,1
